year,language,location,latitude,longitude,last_speaker
841,Tocharian,Tarim Basin (Central Asia),39.78373,-100.445882,
600,Avestan,Iran,32.94075,52.947134,[200]
550,Ancient Cappadocian,Anatolia,50.63987,25.167842,
550,Dacian,Balkans,48.844057,2.358283,
550,Gaulish,"Gaul: France, Belgium, Germany and elsewhere",39.78373,-100.445882,
550,Illyrian,western Balkans,39.78373,-100.445882,disputed
550,Sabaean,Horn of Africa; Arabic Peninsula,39.78373,-100.445882,
550,Vandalic,Spain; North Africa,39.78373,-100.445882,
500,Phrygian,southeastern Bulgaria; Anatolia,39.78373,-100.445882,
499,Ligurian,northwestern Italy; southeastern France,39.78373,-100.445882,[201]
454,Hunnic,from the Eurasian steppe into Europe,39.78373,-100.445882,
450,Isaurian,Anatolia,50.63987,25.167842,
450,Thracian,eastern and central Balkans,39.78373,-100.445882,
410,Punic,North Africa,13.452646,-2.227736,
400,Meroitic,Sudan,14.584444,29.491769,
400,Sarmatian,"Pontic-Caspian steppe, Central Asia",39.78373,-100.445882,evolved into Alanic
350,Biblical Hebrew,Palestine,30.876027,35.00152,revived in the 1880s
350,Galatian,central Anatolia,38.77766,34.566436,
350,Ge'ez,Ethiopia; Eritrea,9.045957,38.775804,;[202] still used as a liturgical language
301,Parthian,Iran,32.94075,52.947134,
250,Raetic,eastern Alps,39.78373,-100.445882,
201,Noric,Austria; Slovenia,46.081736,14.513711,
201,Pisidian,southwestern Anatolia,39.78373,-100.445882,
151,Bactrian,Afghanistan,33.000087,64.999847,
150,Celtiberian,Spain,40.002803,-4.003104,
150,Lusitanian,Portugal; Spain,28.559195,-16.219082,
100,Akkadian,Mesopotamia,40.505046,21.158266,[203]
100,Etruscan,central Italy,39.78373,-100.445882,
100,Iberian,Spain; France,28.093219,-15.43062,
100,Paeonian,Macedonia; Greece; Bulgaria,39.78373,-100.445882,
50,Liburnian,western Croatia,39.78373,-100.445882,
50,Venetic,northeastern Italy,39.78373,-100.445882,
-50,Elymian,western Sicily,39.78373,-100.445882,
-50,Lycian,southwestern Anatolia,39.78373,-100.445882,
-50,Lydian,western Anatolia,39.78373,-100.445882,
-50,Messapian,"Apulia, Italy",40.984266,16.621036,
-50,Mysian,northwestern Anatolia,39.78373,-100.445882,
-50,Oscan,southern Italy,39.78373,-100.445882,
-50,Sabine,central Italy,39.78373,-100.445882,
-50,Sicanian,central Sicily,39.78373,-100.445882,
-50,Sicel,eastern Sicily,39.78373,-100.445882,
-50,Umbrian,central Italy,39.78373,-100.445882,
-100,Vestinian,east-central Italy,39.78373,-100.445882,
-150,Faliscan,"Tuscany/Latium, Italy",39.78373,-100.445882,
-250,Aequian,"Latium, east-central Italy",39.78373,-100.445882,
-250,Carian,southwestern Anatolia,39.78373,-100.445882,
-250,Sidetic,southwestern Anatolia,39.78373,-100.445882,
-250,Volscian,Italy; Latium,41.901294,12.501682,
-300,Baekje language,Korea,36.574844,139.239418,
-300,Philistine,Israel; Lebanon,33.274214,35.624375,
-300,Scythian,"Pontic-Caspian steppe, Central Asia",39.78373,-100.445882,evolved into Sarmatian
-330,Goguryeo language,"Korea, China",22.284217,114.192496,
-350,Ancient Macedonian,northeastern Greece,39.78373,-100.445882,
-350,Elamite,Persia; southern Mesopotamia,39.78373,-100.445882,
-375,Olmec language,Mexico,19.43253,-99.13321,
-390,Eteocypriot,Cyprus,35.169563,33.13964,
-399,Tartessian,Spain,40.002803,-4.003104,
-400,Lepontic,northern Italy,32.73492,-117.154597,
-450,Ammonite,northwestern Jordan,39.78373,-100.445882,
-450,Moabite,northwestern Jordan,39.78373,-100.445882,
-450,Phoenician,Lebanon; Palestine; Mediterranean coast,39.78373,-100.445882,evolved into Punic
-500,Edomite,southwestern Jordan,39.78373,-100.445882,
-500,Lemnian,"Lemnos, Greece",39.908869,25.149961,[204]
-500,Milyan,Anatolia,50.63987,25.167842,
-600,Egyptian,Ancient Egypt,39.78373,-100.445882,evolved into Demotic by 600 BCE
-600,Luwian,Anatolia; northern Syria,39.78373,-100.445882,
-650,Urartian,Armenia; Georgia; Iraq; Anatolia,39.78373,-100.445882,
-1100,Eteocretan,"Crete, Greece",35.23796,24.800541,
-1100,Hittite,Anatolia,50.63987,25.167842,
-1170,Ugaritic,Syria,34.640186,39.049411,following the destruction of Ugarit
-1200,Hurrian,Anatolia; Syria; Mesopotamia,39.78373,-100.445882,
-1250,Cypro-Minoan,Cyprus,35.169563,33.13964,
-1300,Palaic,northwest Anatolia,39.78373,-100.445882,
-1500,Eblaite,Syria,34.640186,39.049411,
-1500,Hattic,Anatolia,50.63987,25.167842,
-2100,Sumerian,Mesopotamia,40.505046,21.158266,used as a literary and liturgical language until about 100 CE [205]
,ÇXegwi,South Africa,-28.816624,24.991639,
,Deti,Botswana,-23.168178,24.592874,
,Dicamay Agta,Philippines,12.750349,122.73121,
,Dorasque,Panama,8.309607,-81.306625,
,Dororo,Solomon Islands,-9.735434,162.828854,
,Dungidjau,Australia,-24.776109,134.755,
,Eastern Kamchadal,Russian Federation,64.686314,97.745306,
,Eastern Pomo,United States of America,39.78373,-100.445882,
,Eel River Athabaskan,United States of America,39.78373,-100.445882,
,Elmolo,Kenya,1.441968,38.431398,
,Eotile,CÃ´te d'Ivoire,39.78373,-100.445882,
,GÃ¼nÃ¼na KÃ¼ne,Argentina,-35.112487,-65.241974,
,Getmata,Papua New Guinea,-5.681607,144.248908,
,Gey,Cameroon,4.612552,13.153581,
,Gule,Sudan,14.584444,29.491769,
,Guliguli,Solomon Islands,-9.735434,162.828854,
,Hoanya,China,35.000074,104.999927,
,Horo,Chad,15.613414,19.015617,
,Hpun,Myanmar,17.17505,95.999965,
,Huitoto (Brazil),Brazil,-10.333333,-53.2,
,Hulaula (Iran),Iran (Islamic Republic of),32.94075,52.947134,
,Huron-Wyandot (United States of America),United States of America,39.78373,-100.445882,
,Island Chumash,United States of America,39.78373,-100.445882,
,Judeo-Berber (Morocco),Morocco,31.172819,-7.336604,
,Karaim (Crimea),Ukraine,49.487197,31.271832,
,Karami,Papua New Guinea,-5.681607,144.248908,
,Karelian (Valday),Russian Federation,64.686314,97.745306,
,Kayeli,Indonesia,-4.799336,114.563203,
,Kede,Angola,-11.877577,17.569124,
,Kenaboi,Malaysia,2.392376,112.847194,
,Kerek,Russian Federation,64.686314,97.745306,
,Ketangalan,China,35.000074,104.999927,
,Kilit,Azerbaijan,40.163667,47.820743,
,Kinare,Kenya,1.441968,38.431398,
,Konomihu,United States of America,39.78373,-100.445882,
,Kore,Kenya,1.441968,38.431398,
,KrenjÃª,Brazil,-10.333333,-53.2,
,Krevin,Latvia,56.86669,24.599972,
,Kulun,China,35.000074,104.999927,
,Kurtjar,Australia,-24.776109,134.755,
,Kwisi,Angola,-11.877577,17.569124,
,Kyakala,China,35.000074,104.999927,
,Lae,Papua New Guinea,-5.681607,144.248908,
,Laghu,Solomon Islands,-9.735434,162.828854,
,Lenca,"El Salvador, Honduras",14.109089,-87.205018,
,Li-Ngbee,Democratic Republic of the Congo,-2.981434,23.822264,
,Liliali,Indonesia,-4.799336,114.563203,
,Lipan,United States of America,39.78373,-100.445882,
,Lishan Didan (Iran),Iran (Islamic Republic of),32.94075,52.947134,
,Lishana Deni (Iraq),Iraq,33.095579,44.174978,
,Lishanid Noshan (Iraq),Iraq,33.095579,44.174978,
,Lorkoti,Kenya,1.441968,38.431398,
,Lower Chehalis,United States of America,39.78373,-100.445882,
,MÃ¡ku,Brazil,-10.333333,-53.2,
,Macaguaje,Colombia,2.893078,-73.784507,
,Mahigi,Papua New Guinea,-5.681607,144.248908,
,Malin,Myanmar,17.17505,95.999965,
,MÃºra,Brazil,-10.333333,-53.2,
,Mapia,Indonesia,-4.799336,114.563203,
,Maragus,Vanuatu,-16.525507,168.106915,
,Marrgu,Australia,-24.776109,134.755,
,MigueleÃ±o,United States of America,39.78373,-100.445882,
,Mlahso (Syria),Syrian Arab Republic,34.640186,39.049411,
,Mlahso (Turkey),Turkey,38.959759,34.924965,
,Mo-peng,Sierra Leone,8.640035,-11.840027,
,Mulaha,Papua New Guinea,-5.681607,144.248908,
,Naka'ela,Indonesia,-4.799336,114.563203,
,Napore,Uganda,1.533355,32.216658,
,New River Shasta,United States of America,39.78373,-100.445882,
,Ngarla,Australia,-24.776109,134.755,
,Ngong,Cameroon,4.612552,13.153581,
,Nila (Nila Island),Indonesia,-4.799336,114.563203,
,Nisenan,United States of America,39.78373,-100.445882,
,Northeastern Pomo,United States of America,39.78373,-100.445882,
,NukinÃ­,Brazil,-10.333333,-53.2,
,Nyang'i,Uganda,1.533355,32.216658,
,ObispeÃ±o,United States of America,39.78373,-100.445882,
,Odut,Nigeria,9.600036,7.999972,
,Old Sirenik,Russian Federation,64.686314,97.745306,
,Ongkor Solon,China,35.000074,104.999927,
,Opon-Carare,Colombia,2.893078,-73.784507,
,Orang Kanaq,Malaysia,2.392376,112.847194,
,Phalok,Thailand,14.897192,100.83273,
,Piru,Indonesia,-4.799336,114.563203,
,PurisimeÃ±o,United States of America,39.78373,-100.445882,
,Quapaw,United States of America,39.78373,-100.445882,
,Quileute,United States of America,39.78373,-100.445882,
,Quinault,United States of America,39.78373,-100.445882,
,Qwarenya,Ethiopia,10.21167,38.65212,
,Rangkas,India,22.351115,78.667743,
,Sei,Sierra Leone,8.640035,-11.840027,
,Sengmai,India,22.351115,78.667743,
,Seward Peninsula Inupiaq (Big Diomede Island),Russian Federation,64.686314,97.745306,
,Singa,Uganda,1.533355,32.216658,
,Sishee,New Caledonia (France),-21.30199,165.488077,
,Sogoo,Kenya,1.441968,38.431398,
,Southeastern Pomo,United States of America,39.78373,-100.445882,
,Southern Kamchadal,Russian Federation,64.686314,97.745306,
,Southern Khanty,Russian Federation,64.686314,97.745306,
,Southern Mansi,Russian Federation,64.686314,97.745306,
,Soyot,Russian Federation,64.686314,97.745306,
,Tamazight (Ait Rouadi),Morocco,31.172819,-7.336604,
,Tandia,Indonesia,-4.799336,114.563203,
,Taokas,China,35.000074,104.999927,
,Te'un (Te'un Island),Indonesia,-4.799336,114.563203,
,Tetete,Ecuador,-1.339767,-79.366696,
,Tobada',Indonesia,-4.799336,114.563203,
,Togoyo,Sudan,14.584444,29.491769,
,Tolcha,India,22.351115,78.667743,
,Tonjon,CÃ´te d'Ivoire,39.78373,-100.445882,
,TorÃ¡,Brazil,-10.333333,-53.2,
,Tututni,United States of America,39.78373,-100.445882,
,Umutina,Brazil,-10.333333,-53.2,
,Upper Chehalis,United States of America,39.78373,-100.445882,
,Uru,Bolivia (Plurinational State of),-17.05687,-64.991229,
,Uruava,Papua New Guinea,-5.681607,144.248908,
,UrupÃ¡,Brazil,-10.333333,-53.2,
,Vilela,Argentina,-35.112487,-65.241974,
,Western Abenaki (United States of America),United States of America,39.78373,-100.445882,
,Western Mansi,Russian Federation,64.686314,97.745306,
,Yaaku,Kenya,1.441968,38.431398,
,Yameo,Peru,-6.86997,-75.045851,
,Yir Yoront,Australia,-24.776109,134.755,
,Yoba,Papua New Guinea,-5.681607,144.248908,
,Yuki,United States of America,39.78373,-100.445882,
,Yurats,Russian Federation,64.686314,97.745306,
,YurutÃ­ (Brazil),Brazil,-10.333333,-53.2,
,Zeem,Nigeria,9.600036,7.999972,
