Country,Current Lang & Tech: Android,Current Lang & Tech: Arduino,Current Lang & Tech: AngularJS,Current Lang & Tech: C,Current Lang & Tech: C++,Current Lang & Tech: C++11,Current Lang & Tech: C#,Current Lang & Tech: Cassandra,Current Lang & Tech: CoffeeScript,Current Lang & Tech: Cordova,Current Lang & Tech: Clojure,Current Lang & Tech: Cloud,Current Lang & Tech: Dart,Current Lang & Tech: F#,Current Lang & Tech: Go,Current Lang & Tech: Hadoop,Current Lang & Tech: Haskell,Current Lang & Tech: iOS,Current Lang & Tech: Java,Current Lang & Tech: JavaScript,Current Lang & Tech: LAMP,Current Lang & Tech: Matlab,Current Lang & Tech: MongoDB,Current Lang & Tech: Node.js,Current Lang & Tech: Objective-C,Current Lang & Tech: Perl,Current Lang & Tech: PHP,Current Lang & Tech: Python,Current Lang & Tech: R,Current Lang & Tech: Redis,Current Lang & Tech: Ruby,Current Lang & Tech: Rust,Current Lang & Tech: Salesforce,Current Lang & Tech: Scala,Current Lang & Tech: Sharepoint,Current Lang & Tech: Spark,Current Lang & Tech: SQL,Current Lang & Tech: SQL Server,Current Lang & Tech: Swift,Current Lang & Tech: Visual Basic,Current Lang & Tech: Windows Phone,Current Lang & Tech: Wordpress,Current Lang & Tech: Write-In
Turkey,Android,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
United Kingdom,,,,C,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,Fortran
United Kingdom,,,,,,,,,,,,,,,,,,,Java,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,FORTRAN
United Kingdom,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,,,,Python,R,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,Python,,,,,,,,,SQL,,,,,,
United Kingdom,,,,C,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
United Kingdom,Android,,,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,,WAMP
United Kingdom,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,Sharepoint,,SQL,SQL Server,,Visual Basic,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,SQL Server,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom,,,AngularJS,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,R,,,,,,Sharepoint,,SQL,,,,,,IBM SPSS DataCollection 6
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,MongoDB,,,,,Python,R,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,Perl,,Python,,,,,,,,,,,,,,,Bash
United States,,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,Visual Basic,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,SQL Server,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United States,Android,Arduino / Raspberry Pi,AngularJS,C,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,Go,,,,Java,JavaScript,,Matlab,,Node.js,,Perl,PHP,Python,R,,Ruby,,,Scala,,,SQL,SQL Server,,,,Wordpress,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
United States,,,,C,C++,,,,,,,,,,,,,,Java,,,Matlab,,,,,,Python,R,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Germany,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,Hadoop,,,,,,,,,,,PHP,Python,R,,,,,,,,SQL,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,R,,,,,,,,SQL,,,,,,SAS
United Kingdom,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,R,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,Hadoop,,,Java,,,Matlab,,,,,,Python,R,,,,,,,,SQL,,,,,,
N/A,,,,,C++,,,,,,,,,,,,,,,,,Matlab,MongoDB,,,,,Python,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
N/A,,,,,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Germany,,,,,,,,,,,,,,,,,,,Java,,,,MongoDB,,,,,Python,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
Germany,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,R,,,,,,,,SQL,SQL Server,,,,,
India,Android,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,ETL
India,,,,,,,,,,,,,,,,Hadoop,,,Java,,,,,,,,,,R,,,,,,,,,SQL Server,,,,,"amazon redshift,mahout"
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,Ruby,,,Scala,,,,,,,,,
Spain,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,PHP,,,,,,,,,,SQL,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,MongoDB,,,,,Python,,Redis,,,,,,,SQL,,,,,,
Spain,,,AngularJS,,C++,,C#,,,,,,,,,,,,Java,JavaScript,,Matlab,,Node.js,Objective-C,Perl,,Python,R,Redis,,,,Scala,,,SQL,SQL Server,,,,,
United Kingdom,Android,,,C,C++,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,LAMP,Matlab,,,,Perl,PHP,Python,R,,,,,,,,SQL,,,,,,Octave
United Kingdom,,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,Hadoop,,,Java,,,,,,,,,,,,,,,Scala,,Spark,,,,,,,
United Kingdom,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,,Python,,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,Swift,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,Java,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
United States,Android,,,,C++,,,,,Cordova,,,,,,,,iOS,Java,JavaScript,LAMP,Matlab,,,Objective-C,,,Python,R,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,R,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,SQL Server,,,,Wordpress,sas
India,,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,
India,,,,C,C++,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,Hadoop,,,,,,,,,,,,Python,R,,,,,,,,,,,,,,
Peru,,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,R,,,,,,,,SQL,SQL Server,,,,Wordpress,
Poland,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Poland,,,,,,,C#,,,,,,,,,,,,,,,Matlab,,,,,,Python,R,,,,,,,Spark,,,,,,,
United Kingdom,,,,C,C++,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
United States,,,,C,C++,C++11,,,,,,,,,Go,,,,Java,JavaScript,,,,Node.js,,,,Python,R,,,,,,,Spark,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,"Shell script is always there, and I miss Lisp from your list"
India,,,,,C++,,,,,,,,,,,Hadoop,,,,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
Russian Federation,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,MongoDB,,,,,Python,R,,,,,,,,,,,,,,
N/A,Android,Arduino / Raspberry Pi,,,C++,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,R,,,,,,,,SQL,SQL Server,,,,,
N/A,,,,,,,,,,,,,,,,,,,Java,,,,,,,Perl,,Python,R,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Antigua & Deps,,,,,,,,,,,,,,,,,Haskell,,,,,,,,,,,,,,,,Salesforce,,,,,,,,,,
Australia,,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,,,,,,,Perl,,Python,,,,,,,,,,,,,,,
Australia,,,,C,C++,C++11,,,,,,,,,,,,,Java,JavaScript,LAMP,,MongoDB,,,,,Python,,,,,,,,,,,,,Windows Phone,,asm
Belgium,,,,C,C++,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Belgium,,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
Bulgaria,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,R,,,,,,,,SQL,,,,,,
Cambodia,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
Canada,,,,C,C++,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,Hadoop,,,Java,JavaScript,LAMP,,MongoDB,Node.js,Objective-C,Perl,,Python,R,,Ruby,,,,,Spark,SQL,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,FORTRAN
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,,,,
Chile,,,,,,,,,,,,,,,,,,,Java,,,,,,,Perl,,Python,R,,,,,,,,SQL,SQL Server,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,SQL,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,R,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
Denmark,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,SAS
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
France,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,Java,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
Germany,,,,C,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,R,,,,,,,,SQL,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,Ruby,,,,,,,,,,,,
Germany,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Germany,,,,C,,,,,,,,,,,,,Haskell,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,XSLT
Germany,,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,Wordpress,
Germany,Android,Arduino / Raspberry Pi,AngularJS,C,C++,C++11,,,,,,,,,,,Haskell,,,JavaScript,,,MongoDB,Node.js,,,,Python,,,,,,,,,,,,,,,
Germany,,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,R,,,,,,,,SQL,,Swift,,,,Typescript
Greece,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,Hadoop,,,Java,JavaScript,LAMP,,,,,,,Python,R,,,,,,,,SQL,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,Drupal
India,,,,C,C++,,,,,,,,,,,,,,Java,,,,MongoDB,Node.js,,,,Python,R,,,,,,,,SQL,,,,,Wordpress,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,Hadoop,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,
Ireland {Republic},,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,Salesforce,,,,,,,,,,
Italy,Android,,,C,C++,,,,,,,,,,,,,,Java,,,Matlab,,,,,PHP,Python,,,,,,,,,SQL,,,Visual Basic,,,
Italy,,,,C,,,,,,,,,,,,,,,,,,Matlab,,,,,,,,,,,,,,,,,,,,,Julia
Italy,,,,,,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
Mexico,,,,C,C++,,,,,,,,,,,,,,Java,,,Matlab,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,,,,,,,,,,,,,,,,Fortran
Netherlands,,,,,C++,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,,,,,,,,,,,,Visual Basic,,,
New Zealand,,,,C,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Russian Federation,,,,C,,,C#,,,,,,,,,,,,Java,,,,,,,,,,R,,,,,,,,SQL,,,,,,
Russian Federation,,,,C,,,,Cassandra,,,,,,,,,,,Java,JavaScript,,,MongoDB,,,Perl,,,,,Ruby,,,,,,,,,,,,
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Spain,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Android,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,R,,,,,,,,,,,,,,
Spain,,,,C,,,,,CoffeeScript,,,,,,Go,,,,,JavaScript,,Matlab,,Node.js,,,,Python,,,,,,,,,,,,,,,
Spain,,,,,C++,,,,,,,,,,,,,,,,,Matlab,,,,Perl,,Python,R,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Switzerland,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom,,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,R,,,,,,,,SQL,,,,,,
United Kingdom,,,,,C++,,,,,,,,,,,,,,,JavaScript,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom,,,,,C++,,C#,,,,,,,,,Hadoop,,,Java,,,Matlab,,,,,PHP,Python,R,,,,,,,Spark,SQL,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,R,,,,,,,,,,,,,,
United Kingdom,,Arduino / Raspberry Pi,,C,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,,,,,,"Bash, Makefile"
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,R,,,,,,,,,,,,,,
United States,,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,R,,,,,,,,,,,,,,
United States,,,,,,,C#,,,,,,,,,,,,Java,,,,MongoDB,,,,,Python,R,,,,Salesforce,,,,SQL,SQL Server,,,,,
United States,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,R,,,,,,,,SQL,,,Visual Basic,,,
United States,,,,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,Node.js,,,,,R,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,Hadoop,,,,,,,,,,,,Python,R,,,,,,,Spark,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,MongoDB,,Objective-C,,PHP,Python,R,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,Sharepoint,,,,,,,,
United States,,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,Julia
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,R,,,,,,,,,,,,,,d3.js
United States,,,,,,,,,,,,,,,,,,,,,,Matlab,,,,,,Python,R,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,,,,
United States,,,,,C++,,C#,,,,,,,,,,,,Java,,,Matlab,,,,,,Python,,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,Hadoop,,,Java,,,Matlab,,,,,,,R,,,,,,,,,,,,,,
United States,,,,,C++,,C#,,,,,,,,,,,,Java,,,Matlab,,,,,,Python,,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,Visual Basic,,,
Germany,,,,,,,C#,,,,,,,,,,,,,,,,,Node.js,,,,,,,,,,,,,SQL,SQL Server,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
India,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
United States,,,,,C++,,,,,,,,,,,,,,Java,JavaScript,,,MongoDB,,,,,Python,,,,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Afghanistan,,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,PL/pgSQL
Italy,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,ksh
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,SQL Server,,,,,Powershell
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Switzerland,,Arduino / Raspberry Pi,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,,,,,,,Objective-C,,PHP,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,Perl,,,,,,,,,,,SQL,,,,,,
Turkey,Android,,,C,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,,,,C,,,,,,,,,,,,,,,,,,,,Node.js,,,,Python,,Redis,,,,,,,SQL,,,,,,
United States,,,,,,,C#,,,,,,,,Go,,,,,,,,,,,,,Python,,,,,,,,,SQL,SQL Server,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharepoint,,SQL,SQL Server,,,,,
United States,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,,Arduino / Raspberry Pi,,C,C++,,,,,,,,,,,,,,,,,,,,,Perl,PHP,,,,,,,,,,SQL,,,,,,Shell
United States,,,,,,,C#,,,,,,,,,,,,,,,,,,,Perl,,,,,,,,,,,SQL,SQL Server,,,,,
Greece,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharepoint,,SQL,SQL Server,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Spain,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharepoint,,SQL,SQL Server,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,,,,,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,Perl,,,,,,,,,,,SQL,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,SQL Server,,Visual Basic,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United States,Android,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,Perl,PHP,Python,,,,,,,,,,,,Visual Basic,,Wordpress,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,"Oracle, PL/SQL"
Uruguay,,,,,C++,C++11,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,Visual Basic,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
